LogReader Generated Export

PROPERTIES
Version=2
CLASS Version=5.14_005
Loaded Jars=ClassMCS Command Station(null-5.14-27),5.14.1P005.001_RegularPatch_202502(null-1.0-1.0_20250205140739),5.14.1P005.002_RegularPatch_202502(null-1.0-1.0_20250228145629),5.14.1P005.003_RegularPatch_202503(null-1.0-1.0_20250313103435),5.14.1P005.004_RegularPatch_202505(null-1.0-1.0_20250513173946),5.14.1P005.005_RegularPatch_202506(null-1.0-1.0_20250521100446),5.14.1P005.006_HotFix_202506(null-1.0-1.0_20250605142834),5.14.1P005.007_RegularPatch_202506(null-1.0-1.0_20250618092714),CLASS MCS 5.14 ServicePack(null-5.14 001-24),CLASS MCS 5.14 ServicePack(null-5.14 002-1),CLASS MCS 5.14 CommandStation(null-5.14 003-24),CLASS MCS 5.14 ServicePack(null-5.14 003-5),CLASS MCS 5.14 ServicePack(null-5.14 004-4),CLASS MCS 5.14 ServicePack(null-5.14 005-5),classlgmcs(null-1.0-1.0_20250217152123),ClassMCS(null-5.14-27),ClassMCS open source library(null-5.14-27),itext(null-1.4.6-UNKNOWN),JCommon(null-1.0.6-UNKNOWN),JFreeChart(null-1.0.3-UNKNOWN),Oracle JDBC(null-Oracle JDBC Driver version - 19.23.0.0.0-UNKNOWN),Oracle JDBC(null-Oracle JDBC Driver version - 19.0.0.0.0-UNKNOWN),
Time Zone=America/New_York
Export Type=Hexadecimal
Mark Count=0

MARKS

HEADERS
"Category","LevelID","SystemDate","DeviceID","SourceID","TrackingID","AsciiData","MessageName","MethodID","LogParserClassName","BinaryData","NumericalTimeStamp"
"Debug","5","22-Aug-2025 10:21:27:239","J1FCNV13301","DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):EventReportThreadP-J1FCNV13301","PTAJFP000124","PTAJFP000124 is removed and publish lgcarrierRemoved event","Debug","LGCnvSEM.carrierRemoved","","","1755872487239"
"Info","9","22-Aug-2025 10:21:27:239","J1FCNV13301","DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):EventReportThreadP-J1FCNV13301","PTAJFP000124","Access Mode Check - isManual : false","Info","LGCnvSEM.lgCarrierRemoved","","","1755872487239"
"Info","9","22-Aug-2025 10:21:27:239","J1FCNV13301","DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):EventReportThreadP-J1FCNV13301","PTAJFP000124","Access Mode Check - accessMode : 1, carrierLoc : J1FCNV13301-CP0C01","Info","LGCnvSEM.lgCarrierRemoved","","","1755872487239"
"Com","1","22-Aug-2025 10:21:27:239","J1FCNV13301","DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):HsmsRecv/10.228.115.223:30059","","--> Event Report Send CEID:153 - CarrierRemoved   CarrierID: PTAJFP000124, Loc : J1FCNV13301-CP0C01, Handoff : 1","commessage","SecsProtocolLogger.logMessage","classlgmcs.device.mcs.storage.lgcnvSEM.ComLogParser","0001860b0000000085b40103a9020000a902009901010102a902000f0103410c5054414a465030303031323441124a3146434e5631333330312d435030433031a9020001","1755872487239"
"Debug","8","22-Aug-2025 10:21:27:239","","DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):HsmsRecv/10.228.115.223:30059","",">>> super1 Event Report Send CEID:153 - CarrierRemoved   CarrierID: PTAJFP000124, Loc : J1FCNV13301-CP0C01, Handoff : 1","DEBUG","COMLogParser.parseComLog","","","1755872487239"
"Info","9","22-Aug-2025 10:21:27:239","","DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):HsmsRecv/10.228.115.223:30059","",">>> super Event Report Send CEID:153 - CarrierRemoved   CarrierID: PTAJFP000124","INFO","COMLogParser.parseComLog","","","1755872487239"
"Debug","9","22-Aug-2025 10:21:26:235","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Sending MCSEvent with Subject(carrier.movement.dataChanged.PTAJFP000124) to 3 Subscribers.","debug","EventPublisher.publishEvent","","","1755872486235"
"Debug","9","22-Aug-2025 10:21:26:235","","EventBrokerServer:EventBrokerServer-EventProcessorThread","","Received MCSEvent with Subject(carrier.movement.dataChanged.PTAJFP000124).","debug","EventPublisher.publishEvent","","","1755872486235"
"Debug","8","22-Aug-2025 10:21:26:235","","CarrierServer:ORBWorkerThread-82","PTAJFP000124","Publishing Event: theSubject=carrier.movement.dataChanged.PTAJFP000124, CarrierData=(id=PTAJFP000124,batchId=,idStatus=Trusted,errorReason=,jobId=,previousStartedJobId=1755872324764,deadlineProcessed=true,jobLateProcessed=false,needsReroute=false,moveStatus=NoMove,itineraryId=,updateItineraryId=,previousLocationInfo=(J1FCNV13301,J1FCNV13301-117,),currentLocationInfo=(J1FCNV13301,J1FCNV13301-CP0C01,),arrivalTime=22-Aug-2025 10:21:26:197,requestor=,moveRequestorType=ExternalRequest,moveRequestReason=,requestTime=22-Aug-2025 10:18:44:764,requestedTypeOfMove=Normal,priority=50,autoCancelCriteria=,deadlineTime=0,sourceLocationInfo=(J1FSTO13301,D_PTT01,J1FSTO13301-10601),originalLocationInfo=(,,),requestedDestinationInfo=(,,),assignedDestinationId=,bufferedDestinationId=,bufferedFlag=false,alternateDestinationId=,alternateReturnCriteria=Default,intermediateDestinationId=,createTime=28-Jun-2025 13:13:20:788,type=FULL,subTypeAttributes=,idInformation=,idPrefix=,capacity=0,emptyFlag=true,comments=,loopId=,useCount=0,cleanCount=0,lastCleanTime=28-Jun-2025 13:13:20:788,preferredExitLocationInfo=(,,),preferredEnterLocationInfo=(,,),requestedDeliveryTime=31-Dec-1969 19:00:00:000,requestedDeliveryStartTime=31-Dec-1969 19:00:00:000,requestedDeliveryStartSetTime=31-Dec-1969 19:00:00:000,moveStatusTime=22-Aug-2025 10:21:26:227), CustomPropertyInfoList=[(CHANGE_DIRECTION_REINPUT_FLAG,),(PROCESS_GROUP_CODE,),(TO_EQP_WINDING_DIRECTION,),(NEXT_EQUIPMENT_GROUP_CODE,),(PRIO,50),(PLT_STATUS,0),(NEXT_EQUIPMENT_ID,),(EQUIPMENT_GROUP_CODE,),(TRANSFER_CREATE_TYPE,R),(CMD_CD,HPTAJFP0001240822101844),(ROLL_NOT_COATED_SIDE,),(MATERIALCODE,),(LOT_ID,T1F007976),(NEXT_PROCESS_GROUP_CODE,FORM_PACK),(TO_EQUIPMENT_NOT_COATED_SIDE,),(ROLL_WINDING_DIRECTION,),(CRANEID,J1FSTO13301-101),(OUTTIME,20250829092553),(OPER,B2000),(QUERYSENT,TRUE),(COMMAND_TEXT,),(ERROR_DURABLE_FLAG,N),(SecondParentId,)]","debug","Carrier.publishCarrierEvent","","","1755872486235"
"Info","3","22-Aug-2025 10:21:26:234","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-5","MesServer_J1F:Primary:Active","[SEND] 
BR_MHS_ReportDurableMovingEvent 
{
  "TXN_ID": "1755872486232",
