,Category,LevelID,SystemDate,DeviceID,MethodID,TrackingID,AsciiData,SourceID,MessageName,LogParserClassName,BinaryData,NumericalTimeStamp,ParsedBody,ParsedBodyObject,ParsedType
21,"""Error",9,01-Aug-2025 03:01:41:870,J1FCNV12305,LGCnvSEM.lgDeleteCustomPropertyist,delete IS_PROHIBITED,NotFound | Value=IS_PROHIBITED | Reason=Custom Property(IS_PROHIBITED) not found on Carrier (LHAE000336) at classmcs.corba.BaseProxyJob.A(BaseProxyJob.java:496) at classmcs.corba.BaseProxyJob.getVoidRtnval(BaseProxyJob.java:411) at classmcs.proxy.CarrierProxy.deleteProperty(CarrierProxy.java:370) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.lgDeleteCustomPropertyList(LGCnvSEM.java:6485) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.carrierIDRead_updateDetailInfo(LGCnvSEM.java:6275) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.processEventReport(LGCnvSEM.java:674) at classmcs.device.mcs.EventReportThread$MyThread.run(EventReportThread.java:189) Caused by: NotFound | Value=IS_PROHIBITED | Reason=Custom Property(IS_PROHIBITED) not found on Carrier (LHAE000336) at classmcs.interfaces.MCSExceptionHelper.read(MCSExceptionHelper.java:80) at classmcs.interfaces._CarrierStub.deleteProperty(_CarrierStub.java:4285) at classmcs.proxy.CarrierProxy.access$1201(CarrierProxy.java:19) at classmcs.proxy.CarrierProxy$ProxyJob.makeIDLCall(CarrierProxy.java:1676) at classmcs.corba.BaseProxyJob.B(BaseProxyJob.java:350) at classmcs.corba.BaseProxyJob.setupTimerAndMakeIDLCall(BaseProxyJob.java:327) at classmcs.corba.ProxyThreadPool$WorkerThread.run(ProxyThreadPool.java:365) ,DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):EventReportThreadP-J1FCNV12305,error,,,"1754031701870"" ",,,Log
182,"""Error",9,01-Aug-2025 03:02:33:494,J1FCNV12305,LGCnvSEM.lgDeleteCustomPropertyist,delete IS_PROHIBITED,NotFound | Value=IS_PROHIBITED | Reason=Custom Property(IS_PROHIBITED) not found on Carrier (LHAE000336) at classmcs.corba.BaseProxyJob.A(BaseProxyJob.java:496) at classmcs.corba.BaseProxyJob.getVoidRtnval(BaseProxyJob.java:411) at classmcs.proxy.CarrierProxy.deleteProperty(CarrierProxy.java:370) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.lgDeleteCustomPropertyList(LGCnvSEM.java:6485) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.carrierIDRead_updateDetailInfo(LGCnvSEM.java:6275) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.processEventReport(LGCnvSEM.java:674) at classmcs.device.mcs.EventReportThread$MyThread.run(EventReportThread.java:189) Caused by: NotFound | Value=IS_PROHIBITED | Reason=Custom Property(IS_PROHIBITED) not found on Carrier (LHAE000336) at classmcs.interfaces.MCSExceptionHelper.read(MCSExceptionHelper.java:80) at classmcs.interfaces._CarrierStub.deleteProperty(_CarrierStub.java:4285) at classmcs.proxy.CarrierProxy.access$1201(CarrierProxy.java:19) at classmcs.proxy.CarrierProxy$ProxyJob.makeIDLCall(CarrierProxy.java:1676) at classmcs.corba.BaseProxyJob.B(BaseProxyJob.java:350) at classmcs.corba.BaseProxyJob.setupTimerAndMakeIDLCall(BaseProxyJob.java:327) at classmcs.corba.ProxyThreadPool$WorkerThread.run(ProxyThreadPool.java:365) ,DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):EventReportThreadP-J1FCNV12305,error,,,"1754031753494"" ",,,Log
438,"""Error",9,01-Aug-2025 03:03:24:211,J1FCNV12305,LGCnvSEM.lgDeleteCustomPropertyist,delete IS_PROHIBITED,NotFound | Value=IS_PROHIBITED | Reason=Custom Property(IS_PROHIBITED) not found on Carrier (LHAE000336) at classmcs.corba.BaseProxyJob.A(BaseProxyJob.java:496) at classmcs.corba.BaseProxyJob.getVoidRtnval(BaseProxyJob.java:411) at classmcs.proxy.CarrierProxy.deleteProperty(CarrierProxy.java:370) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.lgDeleteCustomPropertyList(LGCnvSEM.java:6485) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.carrierIDRead_updateDetailInfo(LGCnvSEM.java:6275) at classlgmcs.device.mcs.storage.lgcnvSEM.LGCnvSEM.processEventReport(LGCnvSEM.java:674) at classmcs.device.mcs.EventReportThread$MyThread.run(EventReportThread.java:189) Caused by: NotFound | Value=IS_PROHIBITED | Reason=Custom Property(IS_PROHIBITED) not found on Carrier (LHAE000336) at classmcs.interfaces.MCSExceptionHelper.read(MCSExceptionHelper.java:80) at classmcs.interfaces._CarrierStub.deleteProperty(_CarrierStub.java:4285) at classmcs.proxy.CarrierProxy.access$1201(CarrierProxy.java:19) at classmcs.proxy.CarrierProxy$ProxyJob.makeIDLCall(CarrierProxy.java:1676) at classmcs.corba.BaseProxyJob.B(BaseProxyJob.java:350) at classmcs.corba.BaseProxyJob.setupTimerAndMakeIDLCall(BaseProxyJob.java:327) at classmcs.corba.ProxyThreadPool$WorkerThread.run(ProxyThreadPool.java:365) ,DeviceServer(1F_Formation_N_2nd_Conveyor_01_Server):EventReportThreadP-J1FCNV12305,error,,,"1754031804211"" ",,,Log
